Sector,Tickers
Nifty 50,ULTRACEMCO.NS
Bank Nifty,HDFCBANK.NS (0.52%);IDFCFIRSTB.NS (1.05%);AUBANK.NS (1.50%);KOTAKBANK.NS (1.74%);ICICIBANK.NS (2.07%)
Auto,MRF.NS
FMCG,MARICO.NS (1.05%);RADICO.NS (1.74%);BRITANNIA.NS (8.75%);TATACONSUM.NS (11.56%);NESTLEIND.NS (11.89%)
IT,COFORGE.NS (1.64%);TECHM.NS (10.11%);MPHASIS.NS (10.43%);PERSISTENT.NS (14.24%);HCLTECH.NS (16.09%)
Pharma,DIVISLAB.NS;LAURUSLABS.NS
Oil & Gas,HINDPETRO.NS (1.60%);RELIANCE.NS (4.90%);BPCL.NS (5.80%);IOC.NS (17.87%);CASTROLIND.NS (18.77%)
PSU Bank,INDIANB.NS (1.99%);CANBK.NS (3.23%);UNIONBANK.NS (6.95%);BANKBARODA.NS (8.87%);SBIN.NS (9.24%)
Realty,LODHA.NS (8.85%);DLF.NS (10.21%);PRESTIGE.NS (13.95%);OBEROIRLTY.NS (21.16%);BRIGADE.NS (24.72%)
Energy,POWERINDIA.NS (0.71%);HINDPETRO.NS (1.60%);JPPOWER.NS (2.23%);RELIANCE.NS (4.90%);BPCL.NS (5.80%)
Railways PSU,HINDPETRO.NS (1.60%);BEL.NS (3.38%);BEML.NS (8.65%);SAIL.NS (12.52%);BHEL.NS (21.24%)
